month,day,day_of_week,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll7,pm2_5_roll14,pm2_5_std7,pm2_5
12,2,2,283.55,292.5,292.1,269.89285714285717,300.94500000000005,25.1884204310109,281.26
12,2,2,281.26,283.55,292.5,274.61571428571426,284.85285714285715,18.057400013233906,260.8
12,2,2,260.8,281.26,283.55,271.72714285714284,266.7814285714286,24.407923381749786,223.05
12,2,2,223.05,260.8,281.26,262.65285714285716,248.8,35.12104104108201,205.31
12,2,2,205.31,223.05,260.8,250.2871428571429,243.6185714285714,38.1341778960733,205.54
12,2,2,205.54,205.31,223.05,239.24428571428572,242.90642857142856,34.9305562782015,215.2
12,2,2,215.2,205.54,205.31,231.63857142857142,245.24142857142854,28.96192755358122,230.31
12,3,3,230.31,215.2,205.54,227.52142857142854,248.70714285714286,21.926075365924934,252.44
12,3,3,252.44,230.31,215.2,232.20142857142855,253.4085714285714,31.582773484167294,293.56
12,3,3,293.56,252.44,230.31,252.1885714285714,261.9578571428571,58.02655094252592,362.96
12,3,3,362.96,293.56,252.44,281.6928571428571,272.17285714285714,78.95140039169266,411.84
12,3,3,411.84,362.96,293.56,310.82571428571424,280.55642857142857,83.65267356897773,409.47
12,3,3,409.47,411.84,362.96,342.6985714285714,290.9714285714286,83.64949839032052,438.31
12,3,3,438.31,409.47,411.84,381.1842857142857,306.4114285714286,85.28069122162385,499.71
12,3,3,499.71,438.31,409.47,392.45142857142855,309.9864285714286,69.11402593506067,331.31
12,3,3,331.31,499.71,438.31,394.95285714285717,313.57714285714286,65.14101849431007,311.07
12,3,3,311.07,331.31,499.71,386.91285714285715,319.55071428571426,72.773824212254,306.68
12,3,3,306.68,311.07,331.31,384.72285714285715,333.2078571428571,72.12644792637472,396.51
12,3,3,396.51,306.68,311.07,404.30428571428575,357.565,94.95761086876932,546.54
12,3,3,546.54,396.51,306.68,436.18714285714293,389.4428571428571,136.61025714470608,661.49
12,3,3,661.49,546.54,396.51,475.4142857142857,428.29928571428576,187.74448228528925,774.3
12,3,3,774.3,661.49,546.54,556.8657142857144,474.6585714285714,233.0254005365895,901.47
12,3,3,901.47,774.3,661.49,657.8471428571429,526.4,260.3197537461882,1017.94
12,3,3,1017.94,901.47,774.3,776.99,581.9514285714286,263.64189980603095,1140.68
12,3,3,1140.68,1017.94,901.47,895.947142857143,640.335,250.90655403385307,1229.21
12,3,3,1229.21,1140.68,1017.94,982.8614285714285,693.5828571428572,212.068342084069,1154.94
12,3,3,1154.94,1229.21,1140.68,1026.7,731.4435714285713,159.85193367613672,968.36
12,3,3,968.36,1154.94,1229.21,1034.5957142857144,755.005,146.0787030858301,829.57
12,3,3,829.57,968.36,1154.94,1012.9085714285715,784.8871428571429,177.10990245499846,749.66
12,3,3,749.66,829.57,968.36,970.0242857142857,813.9357142857142,209.13605562385644,717.75
